tvoc,temperature,pt2,eco2,pt1,rawh2,sample_time,id,rawethanol,timestamp,hum,pressure,type
10,27.11,"{'pm10_standard': 12, 'pm25_standard': 16, 'pm100_standard': 18, 'particles_03um': 2352, 'particles_05um': 630, 'particles_10um': 69, 'particles_25um': 8, 'particles_50um': 4, 'particles_100um': 0}",401,"{'pm10_standard': 14, 'pm25_standard': 19, 'pm100_standard': 21, 'particles_03um': 2385, 'particles_05um': 705, 'particles_10um': 129, 'particles_25um': 6, 'particles_50um': 3, 'particles_100um': 2}",12740,1980961,817,668,2025-03-25T19:31:00.803185,35.98,401,2
4,27.11,"{'pm10_standard': 14, 'pm25_standard': 23, 'pm100_standard': 24, 'particles_03um': 2640, 'particles_05um': 698, 'particles_10um': 108, 'particles_25um': 28, 'particles_50um': 2, 'particles_100um': 0}",400,"{'pm10_standard': 15, 'pm25_standard': 21, 'pm100_standard': 22, 'particles_03um': 2541, 'particles_05um': 757, 'particles_10um': 141, 'particles_25um': 3, 'particles_50um': 2, 'particles_100um': 1}",12745,1990986,817,668,2025-03-25T19:31:10.793633,35.92,401,2
