type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,17099011,"{'pm10_standard': 31, 'pm25_standard': 48, 'pm100_standard': 49, 'particles_03um': 5499, 'particles_05um': 1566, 'particles_10um': 295, 'particles_25um': 15, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 24, 'pm25_standard': 34, 'pm100_standard': 39, 'particles_03um': 4479, 'particles_05um': 1197, 'particles_10um': 191, 'particles_25um': 18, 'particles_50um': 6, 'particles_100um': 6}",29.57,34.16,400,352,1908,11645,1568,2025-03-26 19:37:47.577378
2,817,17109097,"{'pm10_standard': 32, 'pm25_standard': 44, 'pm100_standard': 47, 'particles_03um': 5529, 'particles_05um': 1564, 'particles_10um': 244, 'particles_25um': 22, 'particles_50um': 4, 'particles_100um': 1}","{'pm10_standard': 24, 'pm25_standard': 31, 'pm100_standard': 35, 'particles_03um': 4371, 'particles_05um': 1182, 'particles_10um': 150, 'particles_25um': 10, 'particles_50um': 6, 'particles_100um': 4}",29.49,34.1,401,163,583,12214,1624,2025-03-26 19:37:57.639012
2,817,17119188,"{'pm10_standard': 31, 'pm25_standard': 42, 'pm100_standard': 44, 'particles_03um': 5412, 'particles_05um': 1540, 'particles_10um': 232, 'particles_25um': 6, 'particles_50um': 3, 'particles_100um': 3}","{'pm10_standard': 26, 'pm25_standard': 39, 'pm100_standard': 45, 'particles_03um': 4539, 'particles_05um': 1277, 'particles_10um': 240, 'particles_25um': 38, 'particles_50um': 6, 'particles_100um': 4}",29.48,33.58,401,104,437,12329,1604,2025-03-26 19:38:07.726108
2,817,17129218,"{'pm10_standard': 31, 'pm25_standard': 43, 'pm100_standard': 47, 'particles_03um': 5412, 'particles_05um': 1541, 'particles_10um': 265, 'particles_25um': 10, 'particles_50um': 6, 'particles_100um': 4}","{'pm10_standard': 22, 'pm25_standard': 37, 'pm100_standard': 38, 'particles_03um': 4287, 'particles_05um': 1190, 'particles_10um': 239, 'particles_25um': 28, 'particles_50um': 2, 'particles_100um': 0}",29.48,33.51,401,86,400,12398,1499,2025-03-26 19:38:17.725963
2,817,17139303,"{'pm10_standard': 32, 'pm25_standard': 42, 'pm100_standard': 45, 'particles_03um': 5511, 'particles_05um': 1585, 'particles_10um': 258, 'particles_25um': 8, 'particles_50um': 5, 'particles_100um': 2}","{'pm10_standard': 23, 'pm25_standard': 34, 'pm100_standard': 39, 'particles_03um': 4284, 'particles_05um': 1176, 'particles_10um': 189, 'particles_25um': 24, 'particles_50um': 8, 'particles_100um': 0}",29.41,33.21,400,62,400,12445,1402,2025-03-26 19:38:27.788599
2,817,17149305,"{'pm10_standard': 32, 'pm25_standard': 42, 'pm100_standard': 46, 'particles_03um': 5724, 'particles_05um': 1609, 'particles_10um': 235, 'particles_25um': 10, 'particles_50um': 6, 'particles_100um': 2}","{'pm10_standard': 24, 'pm25_standard': 32, 'pm100_standard': 39, 'particles_03um': 4371, 'particles_05um': 1183, 'particles_10um': 187, 'particles_25um': 20, 'particles_50um': 10, 'particles_100um': 0}",29.37,32.99,401,44,400,12475,1315,2025-03-26 19:38:37.769628
2,817,17159310,"{'pm10_standard': 32, 'pm25_standard': 43, 'pm100_standard': 46, 'particles_03um': 5901, 'particles_05um': 1654, 'particles_10um': 227, 'particles_25um': 13, 'particles_50um': 4, 'particles_100um': 2}","{'pm10_standard': 24, 'pm25_standard': 39, 'pm100_standard': 42, 'particles_03um': 4428, 'particles_05um': 1248, 'particles_10um': 218, 'particles_25um': 32, 'particles_50um': 6, 'particles_100um': 0}",29.37,32.92,400,38,400,12481,1258,2025-03-26 19:38:47.754576
2,817,17169388,"{'pm10_standard': 32, 'pm25_standard': 45, 'pm100_standard': 46, 'particles_03um': 5970, 'particles_05um': 1645, 'particles_10um': 250, 'particles_25um': 14, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 25, 'pm25_standard': 41, 'pm100_standard': 42, 'particles_03um': 4758, 'particles_05um': 1314, 'particles_10um': 228, 'particles_25um': 28, 'particles_50um': 2, 'particles_100um': 0}",29.3,32.85,401,30,400,12502,1220,2025-03-26 19:38:57.821018
2,817,17179460,"{'pm10_standard': 33, 'pm25_standard': 47, 'pm100_standard': 48, 'particles_03um': 6162, 'particles_05um': 1672, 'particles_10um': 292, 'particles_25um': 17, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 23, 'pm25_standard': 36, 'pm100_standard': 40, 'particles_03um': 4392, 'particles_05um': 1199, 'particles_10um': 215, 'particles_25um': 26, 'particles_50um': 6, 'particles_100um': 0}",29.3,32.89,400,29,400,12494,1183,2025-03-26 19:39:07.870725
