type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,16495295,"{'pm10_standard': 27, 'pm25_standard': 39, 'pm100_standard': 42, 'particles_03um': 4731, 'particles_05um': 1349, 'particles_10um': 235, 'particles_25um': 18, 'particles_50um': 3, 'particles_100um': 2}","{'pm10_standard': 21, 'pm25_standard': 34, 'pm100_standard': 37, 'particles_03um': 4299, 'particles_05um': 1162, 'particles_10um': 195, 'particles_25um': 24, 'particles_50um': 4, 'particles_100um': 4}",29.56,34.83,401,105,400,12289,1662,2025-03-26 19:27:44.950389
2,817,16505330,"{'pm10_standard': 25, 'pm25_standard': 37, 'pm100_standard': 40, 'particles_03um': 4476, 'particles_05um': 1279, 'particles_10um': 223, 'particles_25um': 17, 'particles_50um': 4, 'particles_100um': 2}","{'pm10_standard': 22, 'pm25_standard': 37, 'pm100_standard': 39, 'particles_03um': 4284, 'particles_05um': 1137, 'particles_10um': 204, 'particles_25um': 36, 'particles_50um': 4, 'particles_100um': 0}",29.56,34.72,401,97,400,12300,1651,2025-03-26 19:27:54.966448
2,817,16515418,"{'pm10_standard': 25, 'pm25_standard': 35, 'pm100_standard': 37, 'particles_03um': 4392, 'particles_05um': 1239, 'particles_10um': 201, 'particles_25um': 10, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 22, 'pm25_standard': 34, 'pm100_standard': 39, 'particles_03um': 4092, 'particles_05um': 1125, 'particles_10um': 184, 'particles_25um': 30, 'particles_50um': 8, 'particles_100um': 2}",29.53,34.7,401,98,400,12294,1619,2025-03-26 19:28:05.036149
