type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,7266613,"{'pm10_standard': 3, 'pm25_standard': 4, 'pm100_standard': 5, 'particles_03um': 687, 'particles_05um': 192, 'particles_10um': 26, 'particles_25um': 2, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 11, 'pm25_standard': 16, 'pm100_standard': 16, 'particles_03um': 3918, 'particles_05um': 672, 'particles_10um': 38, 'particles_25um': 18, 'particles_50um': 0, 'particles_100um': 0}",28.86,39.47,401,224,1279,11973,2302,2025-03-26 16:54:13.438376
2,817,7276623,"{'pm10_standard': 2, 'pm25_standard': 3, 'pm100_standard': 4, 'particles_03um': 657, 'particles_05um': 180, 'particles_10um': 25, 'particles_25um': 2, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 6, 'pm25_standard': 10, 'pm100_standard': 10, 'particles_03um': 2322, 'particles_05um': 355, 'particles_10um': 30, 'particles_25um': 16, 'particles_50um': 0, 'particles_100um': 0}",28.94,39.88,401,176,692,12239,2443,2025-03-26 16:54:23.081261
2,817,7286709,"{'pm10_standard': 2, 'pm25_standard': 3, 'pm100_standard': 3, 'particles_03um': 660, 'particles_05um': 184, 'particles_10um': 21, 'particles_25um': 1, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 10, 'pm25_standard': 12, 'pm100_standard': 12, 'particles_03um': 4176, 'particles_05um': 658, 'particles_10um': 26, 'particles_25um': 8, 'particles_50um': 0, 'particles_100um': 0}",28.9,38.67,401,134,701,12230,2439,2025-03-26 16:54:33.148900
