type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,10518798,"{'pm10_standard': 9, 'pm25_standard': 12, 'pm100_standard': 12, 'particles_03um': 2262, 'particles_05um': 488, 'particles_10um': 70, 'particles_25um': 3, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 7, 'pm25_standard': 10, 'pm100_standard': 15, 'particles_03um': 1548, 'particles_05um': 407, 'particles_10um': 51, 'particles_25um': 14, 'particles_50um': 8, 'particles_100um': 0}",29.35,34.58,401,125,450,12268,1696,2025-03-26 17:48:19.300446
2,817,10528880,"{'pm10_standard': 9, 'pm25_standard': 12, 'pm100_standard': 13, 'particles_03um': 2358, 'particles_05um': 525, 'particles_10um': 62, 'particles_25um': 5, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 7, 'pm25_standard': 10, 'pm100_standard': 15, 'particles_03um': 1599, 'particles_05um': 408, 'particles_10um': 46, 'particles_25um': 14, 'particles_50um': 8, 'particles_100um': 0}",29.38,34.65,401,121,455,12264,1651,2025-03-26 17:48:29.358047
2,817,10538963,"{'pm10_standard': 9, 'pm25_standard': 12, 'pm100_standard': 12, 'particles_03um': 2379, 'particles_05um': 495, 'particles_10um': 66, 'particles_25um': 4, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 7, 'pm25_standard': 11, 'pm100_standard': 14, 'particles_03um': 1686, 'particles_05um': 422, 'particles_10um': 50, 'particles_25um': 12, 'particles_50um': 6, 'particles_100um': 2}",29.41,34.71,401,118,466,12252,1568,2025-03-26 17:48:39.420013
