type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,15308611,"{'pm10_standard': 33, 'pm25_standard': 47, 'pm100_standard': 49, 'particles_03um': 7902, 'particles_05um': 1789, 'particles_10um': 262, 'particles_25um': 16, 'particles_50um': 3, 'particles_100um': 1}","{'pm10_standard': 21, 'pm25_standard': 29, 'pm100_standard': 36, 'particles_03um': 4344, 'particles_05um': 1107, 'particles_10um': 172, 'particles_25um': 20, 'particles_50um': 10, 'particles_100um': 4}",29.01,34.91,401,84,409,12320,1499,2025-03-26 19:08:01.994870
2,817,15318694,"{'pm10_standard': 34, 'pm25_standard': 46, 'pm100_standard': 50, 'particles_03um': 8460, 'particles_05um': 1842, 'particles_10um': 228, 'particles_25um': 14, 'particles_50um': 6, 'particles_100um': 4}","{'pm10_standard': 20, 'pm25_standard': 28, 'pm100_standard': 37, 'particles_03um': 4350, 'particles_05um': 1099, 'particles_10um': 157, 'particles_25um': 20, 'particles_50um': 14, 'particles_100um': 6}",29.04,35.16,400,100,444,12291,1496,2025-03-26 19:08:10.567344
2,817,15328697,"{'pm10_standard': 37, 'pm25_standard': 49, 'pm100_standard': 53, 'particles_03um': 10065, 'particles_05um': 2086, 'particles_10um': 219, 'particles_25um': 14, 'particles_50um': 4, 'particles_100um': 4}","{'pm10_standard': 22, 'pm25_standard': 29, 'pm100_standard': 34, 'particles_03um': 4812, 'particles_05um': 1168, 'particles_10um': 168, 'particles_25um': 10, 'particles_50um': 6, 'particles_100um': 4}",29.06,35.26,401,107,471,12266,1592,2025-03-26 19:08:20.550272
