type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,13578410,"{'pm10_standard': 25, 'pm25_standard': 34, 'pm100_standard': 36, 'particles_03um': 4407, 'particles_05um': 1244, 'particles_10um': 206, 'particles_25um': 9, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 20, 'pm25_standard': 32, 'pm100_standard': 34, 'particles_03um': 3756, 'particles_05um': 1023, 'particles_10um': 197, 'particles_25um': 26, 'particles_50um': 4, 'particles_100um': 0}",29.48,34.08,401,106,414,12282,1390,2025-03-26 18:39:13.284152
2,817,13588506,"{'pm10_standard': 26, 'pm25_standard': 37, 'pm100_standard': 38, 'particles_03um': 4638, 'particles_05um': 1286, 'particles_10um': 234, 'particles_25um': 14, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 19, 'pm25_standard': 27, 'pm100_standard': 30, 'particles_03um': 3609, 'particles_05um': 970, 'particles_10um': 143, 'particles_25um': 16, 'particles_50um': 4, 'particles_100um': 0}",29.46,34.11,401,110,419,12270,1387,2025-03-26 18:39:23.362810
2,817,13598591,"{'pm10_standard': 25, 'pm25_standard': 37, 'pm100_standard': 37, 'particles_03um': 4536, 'particles_05um': 1296, 'particles_10um': 220, 'particles_25um': 9, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 19, 'pm25_standard': 31, 'pm100_standard': 35, 'particles_03um': 3909, 'particles_05um': 1042, 'particles_10um': 174, 'particles_25um': 28, 'particles_50um': 6, 'particles_100um': 2}",29.53,34.16,401,114,412,12279,1385,2025-03-26 18:39:33.432114
2,817,13608594,"{'pm10_standard': 27, 'pm25_standard': 38, 'pm100_standard': 38, 'particles_03um': 4713, 'particles_05um': 1341, 'particles_10um': 218, 'particles_25um': 9, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 21, 'pm25_standard': 31, 'pm100_standard': 35, 'particles_03um': 3849, 'particles_05um': 1074, 'particles_10um': 154, 'particles_25um': 26, 'particles_50um': 6, 'particles_100um': 2}",29.54,34.14,401,106,400,12304,1384,2025-03-26 18:39:43.414006
2,817,13618676,"{'pm10_standard': 26, 'pm25_standard': 37, 'pm100_standard': 39, 'particles_03um': 4854, 'particles_05um': 1372, 'particles_10um': 228, 'particles_25um': 14, 'particles_50um': 4, 'particles_100um': 1}","{'pm10_standard': 20, 'pm25_standard': 29, 'pm100_standard': 34, 'particles_03um': 3624, 'particles_05um': 1033, 'particles_10um': 155, 'particles_25um': 18, 'particles_50um': 8, 'particles_100um': 2}",29.54,34.04,401,105,400,12307,1380,2025-03-26 18:39:53.491000
2,817,13628744,"{'pm10_standard': 24, 'pm25_standard': 35, 'pm100_standard': 38, 'particles_03um': 4809, 'particles_05um': 1318, 'particles_10um': 212, 'particles_25um': 15, 'particles_50um': 5, 'particles_100um': 2}","{'pm10_standard': 23, 'pm25_standard': 31, 'pm100_standard': 34, 'particles_03um': 4035, 'particles_05um': 1134, 'particles_10um': 174, 'particles_25um': 12, 'particles_50um': 6, 'particles_100um': 0}",29.63,34.36,401,121,452,12254,1389,2025-03-26 18:40:03.535430
2,817,13638827,"{'pm10_standard': 26, 'pm25_standard': 37, 'pm100_standard': 39, 'particles_03um': 4974, 'particles_05um': 1362, 'particles_10um': 211, 'particles_25um': 13, 'particles_50um': 3, 'particles_100um': 1}","{'pm10_standard': 21, 'pm25_standard': 29, 'pm100_standard': 29, 'particles_03um': 4041, 'particles_05um': 1083, 'particles_10um': 162, 'particles_25um': 6, 'particles_50um': 0, 'particles_100um': 0}",29.66,34.28,401,107,401,12287,1449,2025-03-26 18:40:13.598321
2,817,13648827,"{'pm10_standard': 22, 'pm25_standard': 34, 'pm100_standard': 35, 'particles_03um': 4296, 'particles_05um': 1205, 'particles_10um': 229, 'particles_25um': 11, 'particles_50um': 2, 'particles_100um': 0}","{'pm10_standard': 22, 'pm25_standard': 30, 'pm100_standard': 31, 'particles_03um': 4119, 'particles_05um': 1111, 'particles_10um': 159, 'particles_25um': 8, 'particles_50um': 2, 'particles_100um': 2}",29.6,34.06,401,106,409,12296,1474,2025-03-26 18:40:23.583980
2,817,13658854,"{'pm10_standard': 23, 'pm25_standard': 33, 'pm100_standard': 33, 'particles_03um': 4266, 'particles_05um': 1211, 'particles_10um': 208, 'particles_25um': 8, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 21, 'pm25_standard': 26, 'pm100_standard': 28, 'particles_03um': 3831, 'particles_05um': 1036, 'particles_10um': 140, 'particles_25um': 6, 'particles_50um': 2, 'particles_100um': 2}",29.63,34.0,401,112,423,12281,1476,2025-03-26 18:40:33.585871
2,817,13668881,"{'pm10_standard': 23, 'pm25_standard': 33, 'pm100_standard': 33, 'particles_03um': 4251, 'particles_05um': 1201, 'particles_10um': 173, 'particles_25um': 2, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 19, 'pm25_standard': 31, 'pm100_standard': 35, 'particles_03um': 3825, 'particles_05um': 1017, 'particles_10um': 176, 'particles_25um': 28, 'particles_50um': 4, 'particles_100um': 2}",29.66,34.03,401,106,424,12275,1474,2025-03-26 18:40:43.592603
