type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,12250330,"{'pm10_standard': 20, 'pm25_standard': 30, 'pm100_standard': 30, 'particles_03um': 3654, 'particles_05um': 1038, 'particles_10um': 192, 'particles_25um': 7, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 17, 'pm25_standard': 28, 'pm100_standard': 36, 'particles_03um': 3330, 'particles_05um': 925, 'particles_10um': 168, 'particles_25um': 36, 'particles_50um': 12, 'particles_100um': 4}",29.43,34.07,401,109,422,12283,1397,2025-03-26 18:17:07.589644
2,817,12260400,"{'pm10_standard': 22, 'pm25_standard': 32, 'pm100_standard': 33, 'particles_03um': 4011, 'particles_05um': 1122, 'particles_10um': 212, 'particles_25um': 6, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 17, 'pm25_standard': 28, 'pm100_standard': 29, 'particles_03um': 3513, 'particles_05um': 941, 'particles_10um': 166, 'particles_25um': 22, 'particles_50um': 2, 'particles_100um': 0}",29.41,33.95,401,105,436,12280,1412,2025-03-26 18:17:17.635222
2,817,12270485,"{'pm10_standard': 22, 'pm25_standard': 33, 'pm100_standard': 34, 'particles_03um': 4098, 'particles_05um': 1156, 'particles_10um': 189, 'particles_25um': 9, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 18, 'pm25_standard': 26, 'pm100_standard': 28, 'particles_03um': 3399, 'particles_05um': 906, 'particles_10um': 126, 'particles_25um': 16, 'particles_50um': 2, 'particles_100um': 2}",29.41,33.88,401,105,418,12292,1423,2025-03-26 18:17:27.702163
2,817,12280571,"{'pm10_standard': 22, 'pm25_standard': 33, 'pm100_standard': 34, 'particles_03um': 3990, 'particles_05um': 1131, 'particles_10um': 213, 'particles_25um': 11, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 20, 'pm25_standard': 27, 'pm100_standard': 29, 'particles_03um': 3756, 'particles_05um': 1002, 'particles_10um': 144, 'particles_25um': 8, 'particles_50um': 2, 'particles_100um': 2}",29.36,33.78,401,99,400,12328,1422,2025-03-26 18:17:37.772277
2,817,12290590,"{'pm10_standard': 22, 'pm25_standard': 32, 'pm100_standard': 32, 'particles_03um': 3927, 'particles_05um': 1113, 'particles_10um': 206, 'particles_25um': 9, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 21, 'pm25_standard': 29, 'pm100_standard': 32, 'particles_03um': 3921, 'particles_05um': 1076, 'particles_10um': 163, 'particles_25um': 12, 'particles_50um': 2, 'particles_100um': 2}",29.33,33.65,401,89,400,12335,1409,2025-03-26 18:17:47.773104
2,817,12300640,"{'pm10_standard': 21, 'pm25_standard': 31, 'pm100_standard': 31, 'particles_03um': 3960, 'particles_05um': 1105, 'particles_10um': 193, 'particles_25um': 9, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 21, 'pm25_standard': 29, 'pm100_standard': 33, 'particles_03um': 3789, 'particles_05um': 1068, 'particles_10um': 162, 'particles_25um': 12, 'particles_50um': 4, 'particles_100um': 4}",29.31,33.63,401,93,400,12315,1375,2025-03-26 18:17:57.804534
2,817,12310720,"{'pm10_standard': 22, 'pm25_standard': 31, 'pm100_standard': 32, 'particles_03um': 4215, 'particles_05um': 1164, 'particles_10um': 198, 'particles_25um': 12, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 20, 'pm25_standard': 30, 'pm100_standard': 32, 'particles_03um': 3753, 'particles_05um': 1038, 'particles_10um': 145, 'particles_25um': 20, 'particles_50um': 4, 'particles_100um': 0}",29.3,33.74,401,98,422,12306,1358,2025-03-26 18:18:07.859254
2,817,12320799,"{'pm10_standard': 23, 'pm25_standard': 34, 'pm100_standard': 36, 'particles_03um': 4269, 'particles_05um': 1197, 'particles_10um': 220, 'particles_25um': 15, 'particles_50um': 2, 'particles_100um': 2}","{'pm10_standard': 19, 'pm25_standard': 32, 'pm100_standard': 34, 'particles_03um': 3612, 'particles_05um': 970, 'particles_10um': 176, 'particles_25um': 28, 'particles_50um': 4, 'particles_100um': 0}",29.29,33.84,401,99,409,12302,1344,2025-03-26 18:18:17.922222
2,817,12330886,"{'pm10_standard': 23, 'pm25_standard': 34, 'pm100_standard': 36, 'particles_03um': 4266, 'particles_05um': 1202, 'particles_10um': 226, 'particles_25um': 15, 'particles_50um': 2, 'particles_100um': 2}","{'pm10_standard': 21, 'pm25_standard': 31, 'pm100_standard': 31, 'particles_03um': 3777, 'particles_05um': 1022, 'particles_10um': 168, 'particles_25um': 22, 'particles_50um': 0, 'particles_100um': 0}",29.28,33.9,401,104,417,12295,1334,2025-03-26 18:18:27.984548
2,817,12340933,"{'pm10_standard': 21, 'pm25_standard': 32, 'pm100_standard': 34, 'particles_03um': 3795, 'particles_05um': 1107, 'particles_10um': 188, 'particles_25um': 16, 'particles_50um': 2, 'particles_100um': 0}","{'pm10_standard': 19, 'pm25_standard': 27, 'pm100_standard': 28, 'particles_03um': 3531, 'particles_05um': 942, 'particles_10um': 137, 'particles_25um': 16, 'particles_50um': 2, 'particles_100um': 0}",29.27,33.89,401,98,409,12304,1325,2025-03-26 18:18:38.011751
