type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,10750558,"{'pm10_standard': 9, 'pm25_standard': 13, 'pm100_standard': 13, 'particles_03um': 2415, 'particles_05um': 481, 'particles_10um': 82, 'particles_25um': 6, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 7, 'pm25_standard': 10, 'pm100_standard': 10, 'particles_03um': 1578, 'particles_05um': 416, 'particles_10um': 51, 'particles_25um': 2, 'particles_50um': 0, 'particles_100um': 0}",28.91,35.07,401,124,459,12236,1509,2025-03-26 17:52:10.622827
2,817,10760623,"{'pm10_standard': 9, 'pm25_standard': 13, 'pm100_standard': 14, 'particles_03um': 2736, 'particles_05um': 516, 'particles_10um': 80, 'particles_25um': 7, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 7, 'pm25_standard': 9, 'pm100_standard': 9, 'particles_03um': 1434, 'particles_05um': 390, 'particles_10um': 47, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}",28.88,35.0,401,118,445,12247,1491,2025-03-26 17:52:20.668166
2,817,10770704,"{'pm10_standard': 8, 'pm25_standard': 11, 'pm100_standard': 12, 'particles_03um': 2760, 'particles_05um': 515, 'particles_10um': 76, 'particles_25um': 3, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 7, 'pm25_standard': 9, 'pm100_standard': 9, 'particles_03um': 1356, 'particles_05um': 388, 'particles_10um': 49, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}",28.92,35.0,401,121,457,12232,1476,2025-03-26 17:52:30.732594
2,817,10780786,"{'pm10_standard': 9, 'pm25_standard': 11, 'pm100_standard': 12, 'particles_03um': 2850, 'particles_05um': 521, 'particles_10um': 48, 'particles_25um': 3, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 6, 'pm25_standard': 8, 'pm100_standard': 8, 'particles_03um': 1290, 'particles_05um': 350, 'particles_10um': 57, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}",28.94,34.99,401,120,439,12250,1467,2025-03-26 17:52:40.795247
2,817,10790799,"{'pm10_standard': 10, 'pm25_standard': 12, 'pm100_standard': 12, 'particles_03um': 2838, 'particles_05um': 516, 'particles_10um': 44, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 6, 'pm25_standard': 9, 'pm100_standard': 9, 'particles_03um': 1305, 'particles_05um': 358, 'particles_10um': 57, 'particles_25um': 2, 'particles_50um': 0, 'particles_100um': 0}",28.93,34.92,401,117,449,12240,1457,2025-03-26 17:52:50.784503
