type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,17219813,"{'pm10_standard': 30, 'pm25_standard': 42, 'pm100_standard': 43, 'particles_03um': 5679, 'particles_05um': 1544, 'particles_10um': 250, 'particles_25um': 12, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 23, 'pm25_standard': 34, 'pm100_standard': 36, 'particles_03um': 4650, 'particles_05um': 1237, 'particles_10um': 156, 'particles_25um': 24, 'particles_50um': 4, 'particles_100um': 0}",29.16,32.87,400,15,400,12508,1151,2025-03-26 19:39:48.145590
2,817,17229898,"{'pm10_standard': 30, 'pm25_standard': 42, 'pm100_standard': 44, 'particles_03um': 5826, 'particles_05um': 1513, 'particles_10um': 237, 'particles_25um': 19, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 23, 'pm25_standard': 32, 'pm100_standard': 35, 'particles_03um': 4341, 'particles_05um': 1185, 'particles_10um': 148, 'particles_25um': 18, 'particles_50um': 6, 'particles_100um': 0}",29.12,32.95,400,19,400,12508,1149,2025-03-26 19:39:58.222648
2,817,17239932,"{'pm10_standard': 30, 'pm25_standard': 41, 'pm100_standard': 44, 'particles_03um': 5982, 'particles_05um': 1549, 'particles_10um': 235, 'particles_25um': 17, 'particles_50um': 3, 'particles_100um': 2}","{'pm10_standard': 23, 'pm25_standard': 39, 'pm100_standard': 42, 'particles_03um': 4410, 'particles_05um': 1202, 'particles_10um': 205, 'particles_25um': 45, 'particles_50um': 6, 'particles_100um': 2}",29.15,33.07,400,21,400,12518,1152,2025-03-26 19:40:08.236634
2,817,17250009,"{'pm10_standard': 30, 'pm25_standard': 41, 'pm100_standard': 43, 'particles_03um': 6225, 'particles_05um': 1566, 'particles_10um': 231, 'particles_25um': 14, 'particles_50um': 3, 'particles_100um': 1}","{'pm10_standard': 25, 'pm25_standard': 38, 'pm100_standard': 42, 'particles_03um': 4839, 'particles_05um': 1278, 'particles_10um': 232, 'particles_25um': 30, 'particles_50um': 6, 'particles_100um': 2}",29.11,33.07,400,22,400,12518,1151,2025-03-26 19:40:18.307354
2,817,17260090,"{'pm10_standard': 33, 'pm25_standard': 44, 'pm100_standard': 46, 'particles_03um': 6825, 'particles_05um': 1726, 'particles_10um': 226, 'particles_25um': 12, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 25, 'pm25_standard': 36, 'pm100_standard': 37, 'particles_03um': 4764, 'particles_05um': 1254, 'particles_10um': 241, 'particles_25um': 14, 'particles_50um': 2, 'particles_100um': 0}",29.11,33.12,400,22,400,12475,1137,2025-03-26 19:40:28.352432
2,817,17270201,"{'pm10_standard': 34, 'pm25_standard': 49, 'pm100_standard': 52, 'particles_03um': 6636, 'particles_05um': 1761, 'particles_10um': 261, 'particles_25um': 22, 'particles_50um': 3, 'particles_100um': 3}","{'pm10_standard': 24, 'pm25_standard': 34, 'pm100_standard': 34, 'particles_03um': 4722, 'particles_05um': 1222, 'particles_10um': 196, 'particles_25um': 6, 'particles_50um': 0, 'particles_100um': 0}",29.06,33.18,400,22,400,12519,1138,2025-03-26 19:40:38.453221
2,817,17280228,"{'pm10_standard': 34, 'pm25_standard': 49, 'pm100_standard': 52, 'particles_03um': 6114, 'particles_05um': 1702, 'particles_10um': 287, 'particles_25um': 22, 'particles_50um': 4, 'particles_100um': 3}","{'pm10_standard': 25, 'pm25_standard': 34, 'pm100_standard': 34, 'particles_03um': 4644, 'particles_05um': 1235, 'particles_10um': 183, 'particles_25um': 8, 'particles_50um': 0, 'particles_100um': 0}",29.06,33.14,400,23,400,12510,1146,2025-03-26 19:40:48.459861
2,817,17290313,"{'pm10_standard': 35, 'pm25_standard': 49, 'pm100_standard': 50, 'particles_03um': 6264, 'particles_05um': 1759, 'particles_10um': 283, 'particles_25um': 20, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 23, 'pm25_standard': 35, 'pm100_standard': 38, 'particles_03um': 4398, 'particles_05um': 1184, 'particles_10um': 219, 'particles_25um': 14, 'particles_50um': 4, 'particles_100um': 0}",29.03,33.19,400,17,400,12512,1150,2025-03-26 19:40:58.524914
2,817,17300368,"{'pm10_standard': 36, 'pm25_standard': 50, 'pm100_standard': 50, 'particles_03um': 6774, 'particles_05um': 1834, 'particles_10um': 286, 'particles_25um': 15, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 22, 'pm25_standard': 32, 'pm100_standard': 35, 'particles_03um': 4242, 'particles_05um': 1152, 'particles_10um': 194, 'particles_25um': 8, 'particles_50um': 4, 'particles_100um': 0}",29.04,33.21,400,13,400,12508,1140,2025-03-26 19:41:08.565582
2,817,17310452,"{'pm10_standard': 35, 'pm25_standard': 48, 'pm100_standard': 49, 'particles_03um': 7086, 'particles_05um': 1845, 'particles_10um': 240, 'particles_25um': 17, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 21, 'pm25_standard': 31, 'pm100_standard': 35, 'particles_03um': 4251, 'particles_05um': 1114, 'particles_10um': 164, 'particles_25um': 20, 'particles_50um': 6, 'particles_100um': 0}",29.09,33.34,400,22,400,12478,1135,2025-03-26 19:41:18.631637
