type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,12149868,"{'pm10_standard': 19, 'pm25_standard': 27, 'pm100_standard': 29, 'particles_03um': 3720, 'particles_05um': 970, 'particles_10um': 164, 'particles_25um': 13, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 19, 'pm25_standard': 30, 'pm100_standard': 34, 'particles_03um': 3567, 'particles_05um': 963, 'particles_10um': 158, 'particles_25um': 28, 'particles_50um': 6, 'particles_100um': 4}",29.39,34.33,401,99,410,12307,1398,2025-03-26 18:15:27.322955
2,817,12159885,"{'pm10_standard': 20, 'pm25_standard': 29, 'pm100_standard': 31, 'particles_03um': 4104, 'particles_05um': 1061, 'particles_10um': 195, 'particles_25um': 16, 'particles_50um': 2, 'particles_100um': 0}","{'pm10_standard': 19, 'pm25_standard': 28, 'pm100_standard': 33, 'particles_03um': 3639, 'particles_05um': 961, 'particles_10um': 152, 'particles_25um': 26, 'particles_50um': 8, 'particles_100um': 2}",29.43,34.19,401,98,418,12290,1401,2025-03-26 18:15:37.318742
2,817,12169910,"{'pm10_standard': 21, 'pm25_standard': 33, 'pm100_standard': 34, 'particles_03um': 4473, 'particles_05um': 1130, 'particles_10um': 210, 'particles_25um': 17, 'particles_50um': 2, 'particles_100um': 0}","{'pm10_standard': 19, 'pm25_standard': 29, 'pm100_standard': 34, 'particles_03um': 3519, 'particles_05um': 962, 'particles_10um': 164, 'particles_25um': 30, 'particles_50um': 8, 'particles_100um': 2}",29.43,34.06,401,112,413,12301,1402,2025-03-26 18:15:47.325039
