type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,14101515,"{'pm10_standard': 39, 'pm25_standard': 55, 'pm100_standard': 57, 'particles_03um': 7473, 'particles_05um': 2042, 'particles_10um': 311, 'particles_25um': 17, 'particles_50um': 3, 'particles_100um': 2}","{'pm10_standard': 24, 'pm25_standard': 37, 'pm100_standard': 38, 'particles_03um': 4752, 'particles_05um': 1258, 'particles_10um': 214, 'particles_25um': 26, 'particles_50um': 2, 'particles_100um': 0}",28.89,33.45,401,50,400,12415,1046,2025-03-26 18:47:55.463974
2,817,14111552,"{'pm10_standard': 33, 'pm25_standard': 51, 'pm100_standard': 53, 'particles_03um': 6459, 'particles_05um': 1787, 'particles_10um': 313, 'particles_25um': 19, 'particles_50um': 4, 'particles_100um': 2}","{'pm10_standard': 26, 'pm25_standard': 39, 'pm100_standard': 42, 'particles_03um': 4857, 'particles_05um': 1306, 'particles_10um': 223, 'particles_25um': 24, 'particles_50um': 4, 'particles_100um': 0}",28.83,33.52,401,51,400,12401,1046,2025-03-26 18:48:05.479482
2,817,14121585,"{'pm10_standard': 35, 'pm25_standard': 49, 'pm100_standard': 49, 'particles_03um': 6975, 'particles_05um': 1869, 'particles_10um': 278, 'particles_25um': 5, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 26, 'pm25_standard': 38, 'pm100_standard': 41, 'particles_03um': 4986, 'particles_05um': 1321, 'particles_10um': 227, 'particles_25um': 20, 'particles_50um': 4, 'particles_100um': 0}",28.86,33.71,401,58,400,12401,1061,2025-03-26 18:48:15.494824
2,817,14131590,"{'pm10_standard': 30, 'pm25_standard': 46, 'pm100_standard': 48, 'particles_03um': 5691, 'particles_05um': 1542, 'particles_10um': 277, 'particles_25um': 24, 'particles_50um': 4, 'particles_100um': 0}","{'pm10_standard': 26, 'pm25_standard': 37, 'pm100_standard': 38, 'particles_03um': 4812, 'particles_05um': 1291, 'particles_10um': 212, 'particles_25um': 8, 'particles_50um': 2, 'particles_100um': 0}",28.89,33.81,401,49,400,12411,1200,2025-03-26 18:48:25.488640
2,817,14141675,"{'pm10_standard': 33, 'pm25_standard': 49, 'pm100_standard': 51, 'particles_03um': 6384, 'particles_05um': 1728, 'particles_10um': 280, 'particles_25um': 25, 'particles_50um': 3, 'particles_100um': 0}","{'pm10_standard': 26, 'pm25_standard': 34, 'pm100_standard': 35, 'particles_03um': 4857, 'particles_05um': 1288, 'particles_10um': 169, 'particles_25um': 4, 'particles_50um': 2, 'particles_100um': 0}",28.85,33.91,401,57,400,12394,1249,2025-03-26 18:48:35.552387
2,817,14151744,"{'pm10_standard': 35, 'pm25_standard': 48, 'pm100_standard': 51, 'particles_03um': 7140, 'particles_05um': 1863, 'particles_10um': 258, 'particles_25um': 12, 'particles_50um': 4, 'particles_100um': 1}","{'pm10_standard': 28, 'pm25_standard': 36, 'pm100_standard': 38, 'particles_03um': 5556, 'particles_05um': 1374, 'particles_10um': 186, 'particles_25um': 6, 'particles_50um': 2, 'particles_100um': 0}",28.82,34.0,401,59,424,12371,1251,2025-03-26 18:48:45.601961
2,817,14161765,"{'pm10_standard': 38, 'pm25_standard': 54, 'pm100_standard': 56, 'particles_03um': 8004, 'particles_05um': 1982, 'particles_10um': 302, 'particles_25um': 25, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 26, 'pm25_standard': 42, 'pm100_standard': 45, 'particles_03um': 5154, 'particles_05um': 1351, 'particles_10um': 235, 'particles_25um': 32, 'particles_50um': 6, 'particles_100um': 0}",28.84,34.05,401,62,420,12380,1249,2025-03-26 18:48:55.611307
2,817,14171844,"{'pm10_standard': 33, 'pm25_standard': 49, 'pm100_standard': 51, 'particles_03um': 6678, 'particles_05um': 1762, 'particles_10um': 273, 'particles_25um': 22, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 21, 'pm25_standard': 35, 'pm100_standard': 40, 'particles_03um': 4251, 'particles_05um': 1118, 'particles_10um': 203, 'particles_25um': 38, 'particles_50um': 8, 'particles_100um': 0}",28.79,34.1,401,65,430,12364,1240,2025-03-26 18:49:05.673494
2,817,14181896,"{'pm10_standard': 36, 'pm25_standard': 50, 'pm100_standard': 52, 'particles_03um': 7593, 'particles_05um': 1923, 'particles_10um': 268, 'particles_25um': 16, 'particles_50um': 4, 'particles_100um': 2}","{'pm10_standard': 22, 'pm25_standard': 34, 'pm100_standard': 37, 'particles_03um': 4386, 'particles_05um': 1169, 'particles_10um': 197, 'particles_25um': 24, 'particles_50um': 4, 'particles_100um': 0}",28.8,34.13,401,62,412,12376,1226,2025-03-26 18:49:15.702687
2,817,14191954,"{'pm10_standard': 40, 'pm25_standard': 56, 'pm100_standard': 59, 'particles_03um': 8346, 'particles_05um': 2097, 'particles_10um': 285, 'particles_25um': 22, 'particles_50um': 3, 'particles_100um': 2}","{'pm10_standard': 25, 'pm25_standard': 38, 'pm100_standard': 41, 'particles_03um': 4833, 'particles_05um': 1285, 'particles_10um': 240, 'particles_25um': 18, 'particles_50um': 6, 'particles_100um': 2}",28.79,34.16,401,58,410,12382,1209,2025-03-26 18:49:25.737190
