type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,201098,"{'pm10_standard': 32, 'pm25_standard': 46, 'pm100_standard': 49, 'particles_03um': 6042, 'particles_05um': 1619, 'particles_10um': 239, 'particles_25um': 21, 'particles_50um': 5, 'particles_100um': 1}","{'pm10_standard': 23, 'pm25_standard': 32, 'pm100_standard': 35, 'particles_03um': 4368, 'particles_05um': 1166, 'particles_10um': 170, 'particles_25um': 16, 'particles_50um': 4, 'particles_100um': 0}",27.99,34.92,401,3,400,12619,983,2025-03-26 19:53:29.507679
2,817,211176,"{'pm10_standard': 32, 'pm25_standard': 45, 'pm100_standard': 46, 'particles_03um': 6174, 'particles_05um': 1645, 'particles_10um': 247, 'particles_25um': 11, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 25, 'pm25_standard': 37, 'pm100_standard': 40, 'particles_03um': 4761, 'particles_05um': 1263, 'particles_10um': 194, 'particles_25um': 24, 'particles_50um': 4, 'particles_100um': 2}",27.95,34.84,401,1,401,12612,982,2025-03-26 19:53:39.578948
2,817,221273,"{'pm10_standard': 34, 'pm25_standard': 47, 'pm100_standard': 48, 'particles_03um': 7131, 'particles_05um': 1775, 'particles_10um': 241, 'particles_25um': 12, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 24, 'pm25_standard': 35, 'pm100_standard': 37, 'particles_03um': 4524, 'particles_05um': 1208, 'particles_10um': 191, 'particles_25um': 22, 'particles_50um': 2, 'particles_100um': 0}",27.87,34.85,401,16,411,12607,981,2025-03-26 19:53:49.666772
2,817,231291,"{'pm10_standard': 29, 'pm25_standard': 43, 'pm100_standard': 46, 'particles_03um': 5808, 'particles_05um': 1548, 'particles_10um': 246, 'particles_25um': 18, 'particles_50um': 4, 'particles_100um': 3}","{'pm10_standard': 25, 'pm25_standard': 38, 'pm100_standard': 41, 'particles_03um': 5073, 'particles_05um': 1308, 'particles_10um': 193, 'particles_25um': 28, 'particles_50um': 6, 'particles_100um': 0}",27.88,35.0,401,8,401,12604,981,2025-03-26 19:53:59.671241
2,817,241325,"{'pm10_standard': 28, 'pm25_standard': 41, 'pm100_standard': 43, 'particles_03um': 5868, 'particles_05um': 1502, 'particles_10um': 224, 'particles_25um': 16, 'particles_50um': 3, 'particles_100um': 2}","{'pm10_standard': 23, 'pm25_standard': 36, 'pm100_standard': 36, 'particles_03um': 4659, 'particles_05um': 1245, 'particles_10um': 182, 'particles_25um': 24, 'particles_50um': 0, 'particles_100um': 0}",27.91,35.17,400,21,491,12535,981,2025-03-26 19:54:09.696632
2,817,251363,"{'pm10_standard': 33, 'pm25_standard': 44, 'pm100_standard': 47, 'particles_03um': 7524, 'particles_05um': 1775, 'particles_10um': 206, 'particles_25um': 19, 'particles_50um': 6, 'particles_100um': 1}","{'pm10_standard': 22, 'pm25_standard': 31, 'pm100_standard': 32, 'particles_03um': 4464, 'particles_05um': 1173, 'particles_10um': 147, 'particles_25um': 16, 'particles_50um': 0, 'particles_100um': 0}",27.95,35.27,401,10,405,12580,991,2025-03-26 19:54:19.732739
2,817,261401,"{'pm10_standard': 33, 'pm25_standard': 46, 'pm100_standard': 46, 'particles_03um': 6213, 'particles_05um': 1655, 'particles_10um': 268, 'particles_25um': 9, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 21, 'pm25_standard': 33, 'pm100_standard': 33, 'particles_03um': 4470, 'particles_05um': 1156, 'particles_10um': 172, 'particles_25um': 24, 'particles_50um': 0, 'particles_100um': 0}",27.95,35.17,401,3,408,12597,1032,2025-03-26 19:54:29.758696
2,817,271420,"{'pm10_standard': 33, 'pm25_standard': 47, 'pm100_standard': 47, 'particles_03um': 6813, 'particles_05um': 1734, 'particles_10um': 251, 'particles_25um': 12, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 21, 'pm25_standard': 31, 'pm100_standard': 34, 'particles_03um': 4200, 'particles_05um': 1085, 'particles_10um': 175, 'particles_25um': 20, 'particles_50um': 4, 'particles_100um': 2}",27.95,35.18,401,7,418,12580,1040,2025-03-26 19:54:39.769472
2,817,281428,"{'pm10_standard': 38, 'pm25_standard': 49, 'pm100_standard': 53, 'particles_03um': 8619, 'particles_05um': 1998, 'particles_10um': 241, 'particles_25um': 17, 'particles_50um': 3, 'particles_100um': 1}","{'pm10_standard': 22, 'pm25_standard': 37, 'pm100_standard': 40, 'particles_03um': 4191, 'particles_05um': 1165, 'particles_10um': 221, 'particles_25um': 36, 'particles_50um': 6, 'particles_100um': 0}",27.98,35.16,401,9,400,12589,1043,2025-03-26 19:54:49.765045
2,817,291439,"{'pm10_standard': 41, 'pm25_standard': 54, 'pm100_standard': 57, 'particles_03um': 10080, 'particles_05um': 2198, 'particles_10um': 280, 'particles_25um': 13, 'particles_50um': 3, 'particles_100um': 1}","{'pm10_standard': 23, 'pm25_standard': 36, 'pm100_standard': 37, 'particles_03um': 4242, 'particles_05um': 1169, 'particles_10um': 216, 'particles_25um': 30, 'particles_50um': 2, 'particles_100um': 0}",27.94,35.04,401,8,409,12595,1039,2025-03-26 19:54:59.772039
