type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,15741067,"{'pm10_standard': 34, 'pm25_standard': 45, 'pm100_standard': 45, 'particles_03um': 7848, 'particles_05um': 1855, 'particles_10um': 223, 'particles_25um': 7, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 22, 'pm25_standard': 31, 'pm100_standard': 38, 'particles_03um': 4749, 'particles_05um': 1156, 'particles_10um': 176, 'particles_25um': 20, 'particles_50um': 12, 'particles_100um': 2}",29.21,34.9,400,93,413,12311,1487,2025-03-26 19:15:12.148771
2,817,15751153,"{'pm10_standard': 36, 'pm25_standard': 47, 'pm100_standard': 47, 'particles_03um': 8469, 'particles_05um': 1951, 'particles_10um': 228, 'particles_25um': 7, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 24, 'pm25_standard': 35, 'pm100_standard': 35, 'particles_03um': 4578, 'particles_05um': 1194, 'particles_10um': 170, 'particles_25um': 26, 'particles_50um': 0, 'particles_100um': 0}",29.24,35.05,401,101,447,12285,1476,2025-03-26 19:15:22.213638
2,817,15761196,"{'pm10_standard': 35, 'pm25_standard': 49, 'pm100_standard': 50, 'particles_03um': 8595, 'particles_05um': 1960, 'particles_10um': 238, 'particles_25um': 18, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 21, 'pm25_standard': 31, 'pm100_standard': 33, 'particles_03um': 3900, 'particles_05um': 1095, 'particles_10um': 154, 'particles_25um': 26, 'particles_50um': 2, 'particles_100um': 0}",29.32,35.47,400,118,492,12253,1485,2025-03-26 19:15:32.242171
2,817,15771279,"{'pm10_standard': 37, 'pm25_standard': 51, 'pm100_standard': 55, 'particles_03um': 9198, 'particles_05um': 2056, 'particles_10um': 241, 'particles_25um': 25, 'particles_50um': 5, 'particles_100um': 4}","{'pm10_standard': 22, 'pm25_standard': 29, 'pm100_standard': 30, 'particles_03um': 4020, 'particles_05um': 1095, 'particles_10um': 133, 'particles_25um': 12, 'particles_50um': 2, 'particles_100um': 0}",29.3,35.37,401,104,433,12293,1523,2025-03-26 19:15:42.307348
2,817,15781362,"{'pm10_standard': 37, 'pm25_standard': 51, 'pm100_standard': 54, 'particles_03um': 9726, 'particles_05um': 2042, 'particles_10um': 216, 'particles_25um': 27, 'particles_50um': 5, 'particles_100um': 5}","{'pm10_standard': 21, 'pm25_standard': 28, 'pm100_standard': 30, 'particles_03um': 4053, 'particles_05um': 1083, 'particles_10um': 147, 'particles_25um': 6, 'particles_50um': 2, 'particles_100um': 0}",29.29,35.08,400,101,430,12298,1533,2025-03-26 19:15:52.374347
2,817,15791447,"{'pm10_standard': 33, 'pm25_standard': 46, 'pm100_standard': 48, 'particles_03um': 7734, 'particles_05um': 1778, 'particles_10um': 249, 'particles_25um': 10, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 20, 'pm25_standard': 32, 'pm100_standard': 34, 'particles_03um': 3948, 'particles_05um': 1034, 'particles_10um': 168, 'particles_25um': 28, 'particles_50um': 4, 'particles_100um': 0}",29.27,34.9,400,95,412,12301,1535,2025-03-26 19:16:02.439126
2,817,15801518,"{'pm10_standard': 31, 'pm25_standard': 43, 'pm100_standard': 47, 'particles_03um': 6450, 'particles_05um': 1655, 'particles_10um': 240, 'particles_25um': 12, 'particles_50um': 7, 'particles_100um': 1}","{'pm10_standard': 22, 'pm25_standard': 34, 'pm100_standard': 35, 'particles_03um': 4143, 'particles_05um': 1124, 'particles_10um': 186, 'particles_25um': 28, 'particles_50um': 0, 'particles_100um': 0}",29.27,34.94,400,105,437,12295,1534,2025-03-26 19:16:12.489015
2,817,15811569,"{'pm10_standard': 32, 'pm25_standard': 43, 'pm100_standard': 46, 'particles_03um': 6495, 'particles_05um': 1674, 'particles_10um': 230, 'particles_25um': 13, 'particles_50um': 6, 'particles_100um': 1}","{'pm10_standard': 23, 'pm25_standard': 35, 'pm100_standard': 36, 'particles_03um': 4311, 'particles_05um': 1176, 'particles_10um': 197, 'particles_25um': 24, 'particles_50um': 2, 'particles_100um': 0}",29.22,34.97,401,99,419,12296,1533,2025-03-26 19:16:22.525985
2,817,15821651,"{'pm10_standard': 35, 'pm25_standard': 45, 'pm100_standard': 47, 'particles_03um': 7188, 'particles_05um': 1820, 'particles_10um': 233, 'particles_25um': 9, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 23, 'pm25_standard': 31, 'pm100_standard': 34, 'particles_03um': 4344, 'particles_05um': 1150, 'particles_10um': 165, 'particles_25um': 14, 'particles_50um': 4, 'particles_100um': 0}",29.2,35.12,400,112,480,12248,1538,2025-03-26 19:16:32.587192
2,817,15831685,"{'pm10_standard': 30, 'pm25_standard': 44, 'pm100_standard': 45, 'particles_03um': 5730, 'particles_05um': 1564, 'particles_10um': 282, 'particles_25um': 10, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 23, 'pm25_standard': 30, 'pm100_standard': 34, 'particles_03um': 4266, 'particles_05um': 1148, 'particles_10um': 158, 'particles_25um': 10, 'particles_50um': 6, 'particles_100um': 2}",29.23,35.29,400,111,455,12263,1689,2025-03-26 19:16:42.605919
