type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,20136,"{'pm10_standard': 2, 'pm25_standard': 2, 'pm100_standard': 2, 'particles_03um': 492, 'particles_05um': 114, 'particles_10um': 16, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 3, 'pm25_standard': 5, 'pm100_standard': 6, 'particles_03um': 1221, 'particles_05um': 232, 'particles_10um': 23, 'particles_25um': 4, 'particles_50um': 2, 'particles_100um': 0}",26.46,38.36,402,0,400,12450,936,2025-03-26 14:53:37.648276
2,817,30176,"{'pm10_standard': 1, 'pm25_standard': 1, 'pm100_standard': 1, 'particles_03um': 465, 'particles_05um': 117, 'particles_10um': 13, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 4, 'pm25_standard': 5, 'pm100_standard': 5, 'particles_03um': 1935, 'particles_05um': 337, 'particles_10um': 14, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}",26.62,39.31,402,0,400,12529,1143,2025-03-26 14:53:47.685263
2,817,40194,"{'pm10_standard': 1, 'pm25_standard': 2, 'pm100_standard': 2, 'particles_03um': 525, 'particles_05um': 145, 'particles_10um': 17, 'particles_25um': 1, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 5, 'pm25_standard': 6, 'pm100_standard': 6, 'particles_03um': 2328, 'particles_05um': 390, 'particles_10um': 28, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}",26.71,38.89,402,0,400,12743,1225,2025-03-26 14:53:57.687379
2,817,50275,"{'pm10_standard': 3, 'pm25_standard': 3, 'pm100_standard': 3, 'particles_03um': 732, 'particles_05um': 208, 'particles_10um': 18, 'particles_25um': 1, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 6, 'pm25_standard': 8, 'pm100_standard': 8, 'particles_03um': 2340, 'particles_05um': 412, 'particles_10um': 36, 'particles_25um': 2, 'particles_50um': 0, 'particles_100um': 0}",26.87,38.51,402,3,499,12685,1227,2025-03-26 14:54:07.754288
