type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,13688998,"{'pm10_standard': 23, 'pm25_standard': 32, 'pm100_standard': 32, 'particles_03um': 4095, 'particles_05um': 1157, 'particles_10um': 188, 'particles_25um': 9, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 19, 'pm25_standard': 30, 'pm100_standard': 35, 'particles_03um': 3573, 'particles_05um': 985, 'particles_10um': 174, 'particles_25um': 26, 'particles_50um': 8, 'particles_100um': 0}",29.56,33.99,401,110,405,12295,1478,2025-03-26 18:41:03.678191
2,817,13699062,"{'pm10_standard': 25, 'pm25_standard': 37, 'pm100_standard': 39, 'particles_03um': 4527, 'particles_05um': 1283, 'particles_10um': 230, 'particles_25um': 17, 'particles_50um': 3, 'particles_100um': 2}","{'pm10_standard': 17, 'pm25_standard': 28, 'pm100_standard': 32, 'particles_03um': 3381, 'particles_05um': 925, 'particles_10um': 156, 'particles_25um': 20, 'particles_50um': 8, 'particles_100um': 0}",29.6,33.92,401,104,402,12294,1477,2025-03-26 18:41:13.714993
2,817,13709078,"{'pm10_standard': 24, 'pm25_standard': 37, 'pm100_standard': 37, 'particles_03um': 4482, 'particles_05um': 1264, 'particles_10um': 222, 'particles_25um': 10, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 17, 'pm25_standard': 27, 'pm100_standard': 30, 'particles_03um': 3369, 'particles_05um': 903, 'particles_10um': 141, 'particles_25um': 20, 'particles_50um': 6, 'particles_100um': 0}",29.6,33.94,401,109,420,12277,1474,2025-03-26 18:41:23.714635
2,817,13719162,"{'pm10_standard': 25, 'pm25_standard': 34, 'pm100_standard': 34, 'particles_03um': 4263, 'particles_05um': 1235, 'particles_10um': 211, 'particles_25um': 3, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 17, 'pm25_standard': 25, 'pm100_standard': 29, 'particles_03um': 3324, 'particles_05um': 886, 'particles_10um': 131, 'particles_25um': 20, 'particles_50um': 6, 'particles_100um': 0}",29.64,33.94,401,95,400,12298,1473,2025-03-26 18:41:33.778159
2,817,13729233,"{'pm10_standard': 26, 'pm25_standard': 37, 'pm100_standard': 38, 'particles_03um': 4899, 'particles_05um': 1369, 'particles_10um': 236, 'particles_25um': 8, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 21, 'pm25_standard': 27, 'pm100_standard': 31, 'particles_03um': 3807, 'particles_05um': 1036, 'particles_10um': 144, 'particles_25um': 14, 'particles_50um': 6, 'particles_100um': 0}",29.71,33.81,401,104,400,12301,1465,2025-03-26 18:41:43.840804
2,817,13739298,"{'pm10_standard': 26, 'pm25_standard': 37, 'pm100_standard': 39, 'particles_03um': 4821, 'particles_05um': 1363, 'particles_10um': 234, 'particles_25um': 10, 'particles_50um': 2, 'particles_100um': 2}","{'pm10_standard': 20, 'pm25_standard': 26, 'pm100_standard': 29, 'particles_03um': 3771, 'particles_05um': 1016, 'particles_10um': 158, 'particles_25um': 10, 'particles_50um': 4, 'particles_100um': 0}",29.66,33.8,401,109,453,12259,1453,2025-03-26 18:41:53.884453
2,817,13749383,"{'pm10_standard': 25, 'pm25_standard': 36, 'pm100_standard': 38, 'particles_03um': 4665, 'particles_05um': 1332, 'particles_10um': 240, 'particles_25um': 8, 'particles_50um': 2, 'particles_100um': 2}","{'pm10_standard': 22, 'pm25_standard': 29, 'pm100_standard': 34, 'particles_03um': 4065, 'particles_05um': 1099, 'particles_10um': 171, 'particles_25um': 16, 'particles_50um': 8, 'particles_100um': 0}",29.7,33.94,401,105,423,12281,1449,2025-03-26 18:42:03.950986
2,817,13759467,"{'pm10_standard': 25, 'pm25_standard': 37, 'pm100_standard': 38, 'particles_03um': 4815, 'particles_05um': 1350, 'particles_10um': 221, 'particles_25um': 9, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 22, 'pm25_standard': 30, 'pm100_standard': 34, 'particles_03um': 3954, 'particles_05um': 1084, 'particles_10um': 209, 'particles_25um': 18, 'particles_50um': 6, 'particles_100um': 0}",29.65,33.9,401,107,417,12283,1449,2025-03-26 18:42:14.004913
2,817,13769551,"{'pm10_standard': 24, 'pm25_standard': 38, 'pm100_standard': 39, 'particles_03um': 4917, 'particles_05um': 1336, 'particles_10um': 230, 'particles_25um': 13, 'particles_50um': 3, 'particles_100um': 1}","{'pm10_standard': 20, 'pm25_standard': 29, 'pm100_standard': 31, 'particles_03um': 3921, 'particles_05um': 1076, 'particles_10um': 193, 'particles_25um': 12, 'particles_50um': 2, 'particles_100um': 0}",29.67,34.17,401,139,591,12154,1461,2025-03-26 18:42:24.073156
2,817,13779613,"{'pm10_standard': 24, 'pm25_standard': 38, 'pm100_standard': 39, 'particles_03um': 5094, 'particles_05um': 1370, 'particles_10um': 252, 'particles_25um': 8, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 19, 'pm25_standard': 26, 'pm100_standard': 26, 'particles_03um': 3702, 'particles_05um': 1013, 'particles_10um': 158, 'particles_25um': 4, 'particles_50um': 0, 'particles_100um': 0}",29.65,34.24,401,116,400,12294,1585,2025-03-26 18:42:34.131010
