type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,12421355,"{'pm10_standard': 24, 'pm25_standard': 33, 'pm100_standard': 35, 'particles_03um': 4035, 'particles_05um': 1179, 'particles_10um': 193, 'particles_25um': 17, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 22, 'pm25_standard': 29, 'pm100_standard': 31, 'particles_03um': 3924, 'particles_05um': 1102, 'particles_10um': 158, 'particles_25um': 6, 'particles_50um': 2, 'particles_100um': 0}",29.49,33.77,401,92,405,12304,1478,2025-03-26 18:19:58.291814
2,817,12431423,"{'pm10_standard': 23, 'pm25_standard': 34, 'pm100_standard': 36, 'particles_03um': 3999, 'particles_05um': 1170, 'particles_10um': 202, 'particles_25um': 21, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 22, 'pm25_standard': 28, 'pm100_standard': 29, 'particles_03um': 3870, 'particles_05um': 1080, 'particles_10um': 150, 'particles_25um': 4, 'particles_50um': 0, 'particles_100um': 0}",29.47,33.65,401,97,414,12304,1465,2025-03-26 18:20:08.344215
2,817,12441492,"{'pm10_standard': 22, 'pm25_standard': 33, 'pm100_standard': 34, 'particles_03um': 4029, 'particles_05um': 1166, 'particles_10um': 190, 'particles_25um': 14, 'particles_50um': 2, 'particles_100um': 0}","{'pm10_standard': 20, 'pm25_standard': 28, 'pm100_standard': 30, 'particles_03um': 3780, 'particles_05um': 1028, 'particles_10um': 170, 'particles_25um': 6, 'particles_50um': 2, 'particles_100um': 0}",29.49,33.65,401,105,422,12303,1453,2025-03-26 18:20:18.380323
