type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,10146,"{'pm10_standard': 20, 'pm25_standard': 26, 'pm100_standard': 26, 'particles_03um': 0, 'particles_05um': 0, 'particles_10um': 0, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 32, 'pm25_standard': 42, 'pm100_standard': 48, 'particles_03um': 0, 'particles_05um': 0, 'particles_10um': 0, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}",29.05,33.29,400,0,400,12529,1176,2025-03-26 19:50:18.711263
2,817,20179,"{'pm10_standard': 19, 'pm25_standard': 24, 'pm100_standard': 24, 'particles_03um': 3339, 'particles_05um': 969, 'particles_10um': 120, 'particles_25um': 4, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 94, 'pm25_standard': 103, 'pm100_standard': 109, 'particles_03um': 25749, 'particles_05um': 5625, 'particles_10um': 187, 'particles_25um': 20, 'particles_50um': 8, 'particles_100um': 2}",28.93,33.26,400,1,400,12739,1163,2025-03-26 19:50:28.735780
2,817,30217,"{'pm10_standard': 22, 'pm25_standard': 30, 'pm100_standard': 32, 'particles_03um': 3915, 'particles_05um': 1138, 'particles_10um': 161, 'particles_25um': 13, 'particles_50um': 3, 'particles_100um': 1}","{'pm10_standard': 66, 'pm25_standard': 76, 'pm100_standard': 82, 'particles_03um': 17772, 'particles_05um': 3915, 'particles_10um': 211, 'particles_25um': 24, 'particles_50um': 8, 'particles_100um': 2}",28.83,33.33,400,6,407,12738,1146,2025-03-26 19:50:38.769088
2,817,40293,"{'pm10_standard': 27, 'pm25_standard': 40, 'pm100_standard': 42, 'particles_03um': 5103, 'particles_05um': 1433, 'particles_10um': 244, 'particles_25um': 10, 'particles_50um': 3, 'particles_100um': 1}","{'pm10_standard': 47, 'pm25_standard': 60, 'pm100_standard': 64, 'particles_03um': 11466, 'particles_05um': 2698, 'particles_10um': 210, 'particles_25um': 28, 'particles_50um': 4, 'particles_100um': 2}",28.75,33.47,400,5,412,12720,1130,2025-03-26 19:50:48.835583
2,817,50347,"{'pm10_standard': 30, 'pm25_standard': 43, 'pm100_standard': 43, 'particles_03um': 5997, 'particles_05um': 1539, 'particles_10um': 235, 'particles_25um': 15, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 28, 'pm25_standard': 40, 'pm100_standard': 40, 'particles_03um': 5814, 'particles_05um': 1452, 'particles_10um': 186, 'particles_25um': 20, 'particles_50um': 0, 'particles_100um': 0}",28.7,33.67,400,8,408,12709,1089,2025-03-26 19:50:58.888579
