type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,15429273,"{'pm10_standard': 35, 'pm25_standard': 51, 'pm100_standard': 52, 'particles_03um': 7320, 'particles_05um': 1856, 'particles_10um': 304, 'particles_25um': 23, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 22, 'pm25_standard': 32, 'pm100_standard': 36, 'particles_03um': 4134, 'particles_05um': 1119, 'particles_10um': 153, 'particles_25um': 24, 'particles_50um': 6, 'particles_100um': 0}",29.16,34.9,401,95,406,12318,1536,2025-03-26 19:10:00.955146
2,817,15439339,"{'pm10_standard': 36, 'pm25_standard': 53, 'pm100_standard': 55, 'particles_03um': 8175, 'particles_05um': 1990, 'particles_10um': 287, 'particles_25um': 25, 'particles_50um': 2, 'particles_100um': 2}","{'pm10_standard': 21, 'pm25_standard': 29, 'pm100_standard': 33, 'particles_03um': 3930, 'particles_05um': 1059, 'particles_10um': 149, 'particles_25um': 14, 'particles_50um': 6, 'particles_100um': 0}",29.18,34.96,400,100,422,12306,1505,2025-03-26 19:10:11.001600
2,817,15449422,"{'pm10_standard': 40, 'pm25_standard': 54, 'pm100_standard': 55, 'particles_03um': 9870, 'particles_05um': 2195, 'particles_10um': 250, 'particles_25um': 23, 'particles_50um': 1, 'particles_100um': 1}","{'pm10_standard': 20, 'pm25_standard': 28, 'pm100_standard': 29, 'particles_03um': 4002, 'particles_05um': 1089, 'particles_10um': 141, 'particles_25um': 6, 'particles_50um': 2, 'particles_100um': 0}",29.2,35.0,401,93,411,12312,1497,2025-03-26 19:10:21.065713
2,817,15459507,"{'pm10_standard': 42, 'pm25_standard': 56, 'pm100_standard': 57, 'particles_03um': 11631, 'particles_05um': 2321, 'particles_10um': 235, 'particles_25um': 27, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 22, 'pm25_standard': 29, 'pm100_standard': 30, 'particles_03um': 4239, 'particles_05um': 1129, 'particles_10um': 146, 'particles_25um': 6, 'particles_50um': 2, 'particles_100um': 0}",29.21,35.0,400,96,422,12309,1497,2025-03-26 19:10:31.137046
2,817,15469561,"{'pm10_standard': 46, 'pm25_standard': 60, 'pm100_standard': 61, 'particles_03um': 13548, 'particles_05um': 2608, 'particles_10um': 233, 'particles_25um': 25, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 23, 'pm25_standard': 31, 'pm100_standard': 32, 'particles_03um': 4482, 'particles_05um': 1170, 'particles_10um': 152, 'particles_25um': 6, 'particles_50um': 2, 'particles_100um': 0}",29.26,35.26,400,102,438,12289,1507,2025-03-26 19:10:41.175005
2,817,15479592,"{'pm10_standard': 48, 'pm25_standard': 58, 'pm100_standard': 58, 'particles_03um': 14634, 'particles_05um': 2664, 'particles_10um': 209, 'particles_25um': 12, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 22, 'pm25_standard': 34, 'pm100_standard': 38, 'particles_03um': 4506, 'particles_05um': 1148, 'particles_10um': 197, 'particles_25um': 24, 'particles_50um': 6, 'particles_100um': 2}",29.3,35.17,400,100,417,12299,1532,2025-03-26 19:10:51.189498
2,817,15489598,"{'pm10_standard': 43, 'pm25_standard': 56, 'pm100_standard': 57, 'particles_03um': 13158, 'particles_05um': 2363, 'particles_10um': 268, 'particles_25um': 12, 'particles_50um': 2, 'particles_100um': 0}","{'pm10_standard': 21, 'pm25_standard': 35, 'pm100_standard': 39, 'particles_03um': 4290, 'particles_05um': 1120, 'particles_10um': 214, 'particles_25um': 32, 'particles_50um': 6, 'particles_100um': 2}",29.31,35.19,400,103,480,12250,1542,2025-03-26 19:11:01.172800
2,817,15499608,"{'pm10_standard': 33, 'pm25_standard': 48, 'pm100_standard': 51, 'particles_03um': 7587, 'particles_05um': 1763, 'particles_10um': 277, 'particles_25um': 12, 'particles_50um': 4, 'particles_100um': 1}","{'pm10_standard': 21, 'pm25_standard': 31, 'pm100_standard': 36, 'particles_03um': 4110, 'particles_05um': 1076, 'particles_10um': 173, 'particles_25um': 26, 'particles_50um': 8, 'particles_100um': 2}",29.38,35.23,400,111,467,12268,1581,2025-03-26 19:11:11.166315
