type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,281930,"{'pm10_standard': 3, 'pm25_standard': 4, 'pm100_standard': 4, 'particles_03um': 771, 'particles_05um': 212, 'particles_10um': 27, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 3, 'pm25_standard': 5, 'pm100_standard': 5, 'particles_03um': 753, 'particles_05um': 207, 'particles_10um': 30, 'particles_25um': 4, 'particles_50um': 0, 'particles_100um': 0}",27.54,36.12,402,31,576,12780,961,2025-03-26 14:57:59.027792
2,817,292012,"{'pm10_standard': 4, 'pm25_standard': 5, 'pm100_standard': 5, 'particles_03um': 813, 'particles_05um': 225, 'particles_10um': 27, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 3, 'pm25_standard': 4, 'pm100_standard': 5, 'particles_03um': 681, 'particles_05um': 187, 'particles_10um': 24, 'particles_25um': 6, 'particles_50um': 2, 'particles_100um': 0}",27.63,37.09,402,67,611,12739,1219,2025-03-26 14:58:09.099778
2,817,302077,"{'pm10_standard': 3, 'pm25_standard': 4, 'pm100_standard': 4, 'particles_03um': 870, 'particles_05um': 245, 'particles_10um': 25, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 2, 'pm25_standard': 3, 'pm100_standard': 4, 'particles_03um': 723, 'particles_05um': 186, 'particles_10um': 18, 'particles_25um': 4, 'particles_50um': 2, 'particles_100um': 0}",27.7,37.4,402,35,447,12847,1333,2025-03-26 14:58:19.137868
2,817,312158,"{'pm10_standard': 4, 'pm25_standard': 6, 'pm100_standard': 6, 'particles_03um': 837, 'particles_05um': 249, 'particles_10um': 29, 'particles_25um': 2, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 2, 'pm25_standard': 2, 'pm100_standard': 2, 'particles_03um': 678, 'particles_05um': 181, 'particles_10um': 14, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}",27.7,36.8,402,23,604,12736,1334,2025-03-26 14:58:29.200656
2,817,322252,"{'pm10_standard': 3, 'pm25_standard': 4, 'pm100_standard': 4, 'particles_03um': 723, 'particles_05um': 211, 'particles_10um': 30, 'particles_25um': 3, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 1, 'pm25_standard': 2, 'pm100_standard': 2, 'particles_03um': 657, 'particles_05um': 164, 'particles_10um': 14, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}",27.78,36.94,402,63,698,12644,1332,2025-03-26 14:58:39.274215
2,817,332349,"{'pm10_standard': 2, 'pm25_standard': 3, 'pm100_standard': 3, 'particles_03um': 597, 'particles_05um': 174, 'particles_10um': 22, 'particles_25um': 2, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 2, 'pm25_standard': 3, 'pm100_standard': 3, 'particles_03um': 651, 'particles_05um': 137, 'particles_10um': 20, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}",27.8,37.01,402,14,414,12852,1371,2025-03-26 14:58:49.363658
2,817,342405,"{'pm10_standard': 4, 'pm25_standard': 4, 'pm100_standard': 5, 'particles_03um': 714, 'particles_05um': 204, 'particles_10um': 24, 'particles_25um': 2, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 4, 'pm25_standard': 5, 'pm100_standard': 5, 'particles_03um': 1935, 'particles_05um': 281, 'particles_10um': 26, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}",27.81,36.41,402,35,619,12699,1369,2025-03-26 14:58:59.391645
2,817,352463,"{'pm10_standard': 4, 'pm25_standard': 5, 'pm100_standard': 6, 'particles_03um': 750, 'particles_05um': 224, 'particles_10um': 26, 'particles_25um': 2, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 12, 'pm25_standard': 13, 'pm100_standard': 13, 'particles_03um': 4512, 'particles_05um': 731, 'particles_10um': 30, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}",27.82,36.06,402,1,400,12861,1346,2025-03-26 14:59:09.438996
