type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,12511946,"{'pm10_standard': 23, 'pm25_standard': 34, 'pm100_standard': 35, 'particles_03um': 4353, 'particles_05um': 1179, 'particles_10um': 200, 'particles_25um': 13, 'particles_50um': 2, 'particles_100um': 1}","{'pm10_standard': 19, 'pm25_standard': 25, 'pm100_standard': 27, 'particles_03um': 3615, 'particles_05um': 960, 'particles_10um': 128, 'particles_25um': 8, 'particles_50um': 2, 'particles_100um': 2}",29.33,33.78,401,90,409,12292,1369,2025-03-26 18:21:29.084760
2,817,12522042,"{'pm10_standard': 20, 'pm25_standard': 31, 'pm100_standard': 31, 'particles_03um': 3804, 'particles_05um': 1062, 'particles_10um': 216, 'particles_25um': 9, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 19, 'pm25_standard': 24, 'pm100_standard': 25, 'particles_03um': 3465, 'particles_05um': 931, 'particles_10um': 125, 'particles_25um': 8, 'particles_50um': 0, 'particles_100um': 0}",29.26,33.89,401,107,433,12282,1360,2025-03-26 18:21:38.785894
2,817,12532119,"{'pm10_standard': 20, 'pm25_standard': 31, 'pm100_standard': 31, 'particles_03um': 3810, 'particles_05um': 1061, 'particles_10um': 210, 'particles_25um': 13, 'particles_50um': 1, 'particles_100um': 0}","{'pm10_standard': 18, 'pm25_standard': 26, 'pm100_standard': 31, 'particles_03um': 3270, 'particles_05um': 914, 'particles_10um': 149, 'particles_25um': 22, 'particles_50um': 8, 'particles_100um': 2}",29.24,34.0,401,103,432,12282,1354,2025-03-26 18:21:48.843447
