type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,493490,"{'pm10_standard': 3, 'pm25_standard': 4, 'pm100_standard': 4, 'particles_03um': 663, 'particles_05um': 195, 'particles_10um': 29, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 3, 'pm25_standard': 6, 'pm100_standard': 6, 'particles_03um': 834, 'particles_05um': 217, 'particles_10um': 32, 'particles_25um': 8, 'particles_50um': 0, 'particles_100um': 0}",28.08,36.32,402,6,400,12854,1356,2025-03-26 15:01:30.216459
2,817,503555,"{'pm10_standard': 3, 'pm25_standard': 4, 'pm100_standard': 4, 'particles_03um': 693, 'particles_05um': 191, 'particles_10um': 21, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 3, 'pm25_standard': 4, 'pm100_standard': 4, 'particles_03um': 933, 'particles_05um': 239, 'particles_10um': 24, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}",28.08,35.81,402,33,430,12714,1330,2025-03-26 15:01:40.256924
2,817,513667,"{'pm10_standard': 3, 'pm25_standard': 5, 'pm100_standard': 5, 'particles_03um': 756, 'particles_05um': 208, 'particles_10um': 23, 'particles_25um': 3, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 3, 'pm25_standard': 4, 'pm100_standard': 5, 'particles_03um': 981, 'particles_05um': 252, 'particles_10um': 24, 'particles_25um': 2, 'particles_50um': 2, 'particles_100um': 0}",28.03,35.61,402,19,431,12727,1280,2025-03-26 15:01:50.354202
2,817,523720,"{'pm10_standard': 2, 'pm25_standard': 4, 'pm100_standard': 4, 'particles_03um': 771, 'particles_05um': 217, 'particles_10um': 25, 'particles_25um': 3, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 4, 'pm25_standard': 4, 'pm100_standard': 6, 'particles_03um': 963, 'particles_05um': 230, 'particles_10um': 18, 'particles_25um': 4, 'particles_50um': 4, 'particles_100um': 0}",28.03,35.33,402,4,400,12821,1248,2025-03-26 15:02:00.389901
2,817,533801,"{'pm10_standard': 3, 'pm25_standard': 4, 'pm100_standard': 4, 'particles_03um': 831, 'particles_05um': 242, 'particles_10um': 32, 'particles_25um': 1, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 4, 'pm25_standard': 4, 'pm100_standard': 6, 'particles_03um': 843, 'particles_05um': 206, 'particles_10um': 18, 'particles_25um': 4, 'particles_50um': 4, 'particles_100um': 0}",28.01,35.68,402,25,400,12798,1216,2025-03-26 15:02:10.445486
