type,id,sample_time,pt1,pt2,temperature,hum,pressure,tvoc,eco2,rawh2,rawethanol,timestamp
2,817,7437587,"{'pm10_standard': 1, 'pm25_standard': 2, 'pm100_standard': 2, 'particles_03um': 534, 'particles_05um': 153, 'particles_10um': 18, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 2, 'pm25_standard': 5, 'pm100_standard': 5, 'particles_03um': 1272, 'particles_05um': 211, 'particles_10um': 24, 'particles_25um': 14, 'particles_50um': 0, 'particles_100um': 0}",28.91,37.16,401,123,583,12305,1780,2025-03-26 16:57:03.759585
2,817,7447676,"{'pm10_standard': 2, 'pm25_standard': 3, 'pm100_standard': 3, 'particles_03um': 519, 'particles_05um': 145, 'particles_10um': 19, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 5, 'pm25_standard': 6, 'pm100_standard': 6, 'particles_03um': 2106, 'particles_05um': 352, 'particles_10um': 16, 'particles_25um': 4, 'particles_50um': 0, 'particles_100um': 0}",28.92,36.95,401,122,581,12299,1795,2025-03-26 16:57:13.824585
2,817,7457753,"{'pm10_standard': 2, 'pm25_standard': 3, 'pm100_standard': 3, 'particles_03um': 549, 'particles_05um': 155, 'particles_10um': 16, 'particles_25um': 1, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 9, 'pm25_standard': 9, 'pm100_standard': 9, 'particles_03um': 3243, 'particles_05um': 561, 'particles_10um': 18, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}",28.9,36.51,401,101,489,12380,1800,2025-03-26 16:57:23.888663
2,817,7467789,"{'pm10_standard': 3, 'pm25_standard': 3, 'pm100_standard': 3, 'particles_03um': 624, 'particles_05um': 170, 'particles_10um': 10, 'particles_25um': 1, 'particles_50um': 0, 'particles_100um': 0}","{'pm10_standard': 13, 'pm25_standard': 13, 'pm100_standard': 13, 'particles_03um': 4731, 'particles_05um': 805, 'particles_10um': 14, 'particles_25um': 0, 'particles_50um': 0, 'particles_100um': 0}",28.87,36.12,401,92,522,12346,1797,2025-03-26 16:57:33.899600
