timestamp,_is_fixed_data,type,id,sample_time,_original_error,pt1_pm10_standard,pt1_pm25_standard,pt1_pm100_standard,pt1_particles_03um,pt1_particles_05um,pt1_particles_10um,pt1_particles_25um,pt1_particles_50um,pt1_particles_100um,pm10_standard,pm25_standard,pm100_standard,particles_03um,particles_05um,particles_10um,particles_25um,particles_50um,particles_100um
2025-03-25 17:37:02.180,,,,,,,,,,,,,,,18.0,28.0,32.0,3303.0,881.0,171.0,22.0,4.0,2.0
2025-03-25 17:37:12.244,True,2.0,817.0,543545.0,"Expecting ',' delimiter: line 1 column 254 (char 253)",22.0,35.0,37.0,4152.0,1164.0,234.0,16.0,2.0,1.0,,,,,,,,,
2025-03-25 17:37:12.245,,,,,,,,,,,,,,,17.0,26.0,30.0,3174.0,857.0,163.0,16.0,4.0,4.0
2025-03-25 17:37:22.264,True,2.0,817.0,553581.0,"Expecting ',' delimiter: line 1 column 253 (char 252)",22.0,34.0,34.0,3903.0,1137.0,212.0,9.0,1.0,0.0,,,,,,,,,
2025-03-25 17:37:22.266,,,,,,,,,,,,,,,17.0,26.0,32.0,3171.0,884.0,159.0,20.0,8.0,6.0
2025-03-25 17:37:32.326,True,2.0,817.0,563658.0,"Expecting ',' delimiter: line 1 column 253 (char 252)",22.0,33.0,34.0,3906.0,1130.0,203.0,7.0,2.0,1.0,,,,,,,,,
2025-03-25 17:37:32.327,,,,,,,,,,,,,,,19.0,25.0,29.0,3177.0,908.0,146.0,12.0,6.0,4.0
2025-03-25 17:37:42.332,True,2.0,817.0,573680.0,"Expecting ',' delimiter: line 1 column 254 (char 253)",24.0,34.0,35.0,4023.0,1189.0,194.0,14.0,2.0,2.0,,,,,,,,,
2025-03-25 17:37:42.333,,,,,,,,,,,,,,,19.0,26.0,31.0,3300.0,932.0,159.0,14.0,8.0,2.0
2025-03-25 17:37:52.399,True,2.0,817.0,583762.0,"Expecting ',' delimiter: line 1 column 254 (char 253)",23.0,35.0,37.0,3891.0,1154.0,216.0,17.0,3.0,2.0,,,,,,,,,
2025-03-25 17:37:52.399,,,,,,,,,,,,,,,16.0,29.0,34.0,3180.0,849.0,180.0,36.0,8.0,4.0
2025-03-25 17:38:02.466,True,2.0,817.0,593845.0,"Expecting ',' delimiter: line 1 column 254 (char 253)",20.0,33.0,35.0,3666.0,1065.0,213.0,16.0,3.0,2.0,,,,,,,,,
2025-03-25 17:38:02.467,,,,,,,,,,,,,,,17.0,27.0,33.0,3189.0,886.0,149.0,32.0,8.0,4.0
2025-03-25 17:38:12.527,True,2.0,817.0,603921.0,"Expecting ',' delimiter: line 1 column 253 (char 252)",18.0,28.0,30.0,3570.0,1017.0,190.0,7.0,2.0,1.0,,,,,,,,,
2025-03-25 17:38:12.527,,,,,,,,,,,,,,,17.0,30.0,35.0,3555.0,927.0,166.0,34.0,8.0,2.0
2025-03-25 17:38:22.602,True,2.0,817.0,614011.0,"Expecting ',' delimiter: line 1 column 253 (char 252)",21.0,30.0,32.0,3729.0,1075.0,198.0,7.0,2.0,2.0,,,,,,,,,
2025-03-25 17:38:22.602,,,,,,,,,,,,,,,17.0,28.0,34.0,3519.0,934.0,159.0,26.0,10.0,4.0
2025-03-25 17:38:32.655,True,2.0,817.0,624080.0,"Expecting ',' delimiter: line 1 column 254 (char 253)",20.0,32.0,33.0,3681.0,1038.0,197.0,21.0,2.0,1.0,,,,,,,,,
2025-03-25 17:38:32.655,,,,,,,,,,,,,,,19.0,27.0,31.0,3600.0,967.0,150.0,20.0,6.0,2.0
2025-03-25 17:38:42.702,True,2.0,817.0,634143.0,"Expecting ',' delimiter: line 1 column 254 (char 253)",20.0,32.0,34.0,3813.0,1053.0,221.0,14.0,2.0,0.0,,,,,,,,,
2025-03-25 17:38:42.702,,,,,,,,,,,,,,,21.0,30.0,36.0,3729.0,1030.0,160.0,26.0,8.0,6.0
2025-03-25 17:38:52.698,True,2.0,817.0,644156.0,"Expecting ',' delimiter: line 1 column 254 (char 253)",22.0,34.0,38.0,3801.0,1116.0,240.0,19.0,4.0,2.0,,,,,,,,,
2025-03-25 17:38:52.700,,,,,,,,,,,,,,,19.0,32.0,40.0,3441.0,974.0,194.0,40.0,12.0,4.0
2025-03-25 17:39:02.765,True,2.0,817.0,654238.0,"Expecting ',' delimiter: line 1 column 254 (char 253)",23.0,37.0,39.0,4104.0,1193.0,248.0,24.0,1.0,0.0,,,,,,,,,
2025-03-25 17:39:02.767,,,,,,,,,,,,,,,18.0,29.0,37.0,3324.0,938.0,166.0,30.0,14.0,4.0
2025-03-25 17:39:12.817,True,2.0,817.0,664305.0,"Expecting ',' delimiter: line 1 column 254 (char 253)",24.0,36.0,37.0,4182.0,1229.0,239.0,14.0,1.0,1.0,,,,,,,,,
2025-03-25 17:39:12.817,,,,,,,,,,,,,,,18.0,27.0,33.0,3306.0,921.0,143.0,24.0,10.0,2.0
